PARENTNAME,OWNER_NAME,OPER_NAME,PLANT_NAME,PHYS_CITY,P_COUNTY,UNIT_STATE,P_ST_NAME,P_COUNTRY,MARKET_REG,WORLD_REG,IND_CODE_DESC,SIC_CODE,PLANT_ID,UNIT_NAME,UNIT_ID,UNIT_TYPE,OUT_DESIGN,KO_DATE,STARTUP,STARTYEAR,SHUTDOWN,PRIM_FUEL,SECND_FUEL,FUEL_GROUP,HEAT_RATE,PWR_USAGE,U_STATUS,BOIL_NAME,BOILERTYPE,BMFR_NAME,BOIL_INFO,STEAM,STEAM_UOM,STEAM_TON,PRESSURE,PRES_UOM,PRES_BAR,TEMP,TEMP_UOM,TEMP_CEL,DESIGNFIRM,CONSTFIRM,MMBTU_HR,KO_YEAR,LATITUDE,LONGITUDE,COGEN_CHP
Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,Paradise Fossil Plant,Drakesboro,Muhlenberg,KY,Kentucky,U.S.A.,Great Lakes,North America,Power,4911,1012553,Paradise 03,1003648,Steam Turbine,1150.2,,1-Feb-70,1970,1-Feb-20,Coal Subbituminous,Coal Bituminous,Coal,10071,Base Load,Closed,Boiler 03,Wet Bottom Boiler,Babcock & Wilcox,PC Cyclone-Fired OFA SCR ESP-CS FGD-WS,8000000,lbs/hr,4000,3500,PSIG,241,1050,deg F,566,Black & Veatch,,11457,,37.259612,-86.978762,0
LS Power Group,LS Power Group,IHI Power Services Corporation,Ravenswood Generating Station,Long Island City,Queens,NY,New York,U.S.A.,Northeast,North America,Power,4931,1516826,Ravenswood 30 ST,1004335,Steam Turbine,1027,,1-Jun-65,1965,,Natural Gas,Fuel Oil No. 6 Residual,Natural Gas,10816,Peak Load,Operational,Boiler 30,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,Tangential-Fired LNB BFAB CCOFA ESP-HS,7149000,lbs/hr,3574.5,2400,PSIG,165,1050,deg F,566,,,9379,,40.75972,-73.94556,0
Intermountain Power Agency (IPA),Intermountain Power Agency (IPA),Intermountain Power Service Corporation,Intermountain Generation Station,Delta,Millard,UT,Utah,U.S.A.,Rocky Mountains,North America,Power,4911,1015331,Intermountain 02,1007134,Steam Turbine,953,,1-May-87,1987,1-Jun-25,Coal Bituminous,Coal Subbituminous,Coal,10749,Base Load,Operational,Boiler 02,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB OFA FGD-WS BAG,6750000,lbs/hr,3375,2640,PSIG,182,1000,deg F,538,Black & Veatch Pritchard,,9225,,39.5103,-112.5799,0
Southern Company,Georgia Power Company,Georgia Power Company,Wansley Power Station,Franklin,Heard,GA,Georgia,U.S.A.,Southeast,North America,Power,4911,1012051,Wansley 01,1005268,Steam Turbine,952,,1-Dec-76,1976,9-Sep-22,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9295,Intermediate Load,Mothballed,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-CS FGC SCR (FGD-WS-JBR-2008) (ADA ACI - 05/2014),6269000,lbs/hr,3134.5,3625,PSIG,250,1000,deg F,538,Southern Company Services,,,,33.406364,-85.037062,0
Southern Company,Georgia Power Company,Georgia Power Company,Wansley Power Station,Franklin,Heard,GA,Georgia,U.S.A.,Southeast,North America,Power,4911,1012051,Wansley 02,1005269,Steam Turbine,952,,1-Apr-78,1978,9-Sep-22,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9304,Peak Load,Mothballed,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-CS FGC SCR (FGD-WS-JBR-2009) (ADA ACI - 02/2014),6269000,lbs/hr,3134.5,3625,PSIG,250,1000,deg F,538,Southern Company Services,,,,33.406364,-85.037062,0
Southern Company,Georgia Power Company,Georgia Power Company,Bowen Steam Electric Generating Station,Cartersville,Bartow,GA,Georgia,U.S.A.,Southeast,North America,Power,4911,1011979,Bowen 04,1005670,Steam Turbine,952,,1-Nov-75,1975,,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9808,Intermediate Load,Operational,Boiler 04,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,21337 PC Tangential-Fired LNB SCR SOFA ESP-CS (FGD-WS-JBR-2008) (B&W BAG 04/2016),6351000,lbs/hr,3175.5,3625,PSIG,250,1000,deg F,538,Southern Company Services,Southern Company Services,9446,,34.1256,-84.9222,0
Southern Company,Georgia Power Company,Georgia Power Company,Bowen Steam Electric Generating Station,Cartersville,Bartow,GA,Georgia,U.S.A.,Southeast,North America,Power,4911,1011979,Bowen 03,1005669,Steam Turbine,952,,1-Dec-74,1974,,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,10089,Intermediate Load,Operational,Boiler 03,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,21050 PC Tangential-Fired LNB SCR SOFA ESP-CS (FGD-WS-JBR-2008) (B&W BAG 03/2016),6351000,lbs/hr,3175.5,3625,PSIG,250,1000,deg F,538,Southern Company Services,Southern Company Services,9492,,34.1256,-84.9222,0
Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,Bull Run Power Station,Clinton,Anderson,TN,Tennessee,U.S.A.,Southeast,North America,Power,4911,1013855,Bull Run 01,1003642,Steam Turbine,950,,1-Jun-67,1967,30-Dec-23,Coal Bituminous,,Coal,8903,Peak Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired SCR ESP-CS FGD-WS,6400000,lbs/hr,3200,3650,PSIG,252,1003,deg F,539,Black & Veatch,,,,36.020623,-84.157206,0
Intermountain Power Agency (IPA),Intermountain Power Agency (IPA),Intermountain Power Service Corporation,Intermountain Generation Station,Delta,Millard,UT,Utah,U.S.A.,Rocky Mountains,North America,Power,4911,1015331,Intermountain 01,1007133,Steam Turbine,943,,1-Jun-86,1986,1-Jun-25,Coal Bituminous,Coal Subbituminous,Coal,10749,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB 16-OFA FGD-WS BAG,6100000,lbs/hr,3050,2640,PSIG,182,1000,deg F,538,Black & Veatch Pritchard,Bechtel Corporation,9225,,39.5103,-112.5799,0
ArcLight Capital Holdings LLC,ArcLight Capital Holdings LLC,"KeyCon Operating, LLC",Conemaugh Power Station,New Florence,Westmoreland,PA,Pennsylvania,U.S.A.,Northeast,North America,Power,4931,1017267,Conemaugh 02,1004350,Steam Turbine,936,,1-May-71,1971,1-Dec-44,Coal Bituminous,Natural Gas,Coal,9472,Base Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-CS FGC WS FGD-WS (SCR-2014),6350000,lbs/hr,3175,3800,PSIG,262,1005,deg F,541,Black & Veatch,Ebasco,,,40.384733,-79.060492,0
ArcLight Capital Holdings LLC,ArcLight Capital Holdings LLC,Consolidated Asset Management Services - CAMS,Keystone Power Station,Shelocta,Armstrong,PA,Pennsylvania,U.S.A.,Northeast,North America,Power,4911,1016346,Keystone 01,1004381,Steam Turbine,936,,1-Aug-67,1967,1-Dec-44,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9440,Base Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA SCR ESP-CS FGC (FGD-WS 2009),6350000,lbs/hr,3175,3500,PSIG,241,1000,deg F,538,Gilbert Associates,Ebasco,,,40.6604,-79.3411,0
ArcLight Capital Holdings LLC,ArcLight Capital Holdings LLC,"KeyCon Operating, LLC",Conemaugh Power Station,New Florence,Westmoreland,PA,Pennsylvania,U.S.A.,Northeast,North America,Power,4931,1017267,Conemaugh 01,1004347,Steam Turbine,936,,1-May-70,1970,1-Dec-44,Coal Bituminous,Natural Gas,Coal,9472,Base Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-CS FGC WS FGD-WS (SCR-2014),6350000,lbs/hr,3175,3800,PSIG,262,1005,deg F,541,Black & Veatch,,,,40.384733,-79.060492,0
ArcLight Capital Holdings LLC,ArcLight Capital Holdings LLC,Consolidated Asset Management Services - CAMS,Keystone Power Station,Shelocta,Armstrong,PA,Pennsylvania,U.S.A.,Northeast,North America,Power,4911,1016346,Keystone 02,1004388,Steam Turbine,936,,1-Jul-68,1968,1-Dec-44,Coal Bituminous,Fuel Oil No. 2 Distillate Diesel,Coal,9440,Base Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA SCR ESP-CS FGC (FGD-WS 2009),6350000,lbs/hr,3175,3500,PSIG,241,1000,deg F,538,Gilbert Associates,Ebasco,,,40.6604,-79.3411,0
Vistra Energy Corporation,Oak Grove Management Company LLC,Oak Grove Management Company LLC,Oak Grove Generating Station,Franklin,Robertson,TX,Texas,U.S.A.,Southwest,North America,Power,4931,1002706,Oak Grove 01,1038607,Steam Turbine,916.8,15-Aug-07,29-Dec-09,2009,,Coal Lignite,Natural Gas,Coal,9649,Base Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Heritage,PC Supercritical Tangential-Fired LNB OFA SCR FGD-WS ACIS BAG,5740000,lbs/hr,2870,3550,PSIG,245,1000,deg F,538,Burns & McDonnell,Fluor Corporation,,2007,31.1803,-96.4866,0
Evergy Incorporated,Kansas City Power & Light Company,Kansas City Power & Light Company,Iatan Power Station,Weston,Platte,MO,Missouri,U.S.A.,Midwest,North America,Power,4911,1014761,Iatan 02,1012214,Steam Turbine,914,15-Sep-06,10-Aug-10,2010,,Coal Subbituminous,Fuel Oil No. 2 Distillate Diesel,Coal,8658,Base Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,Tangential Fired LNB OFA SCR FGD-DS BAG,6246000,lbs/hr,3123,3573,PSIG,246,1080,deg F,582,Burns & McDonnell,,8100,2006,39.4472,-94.98,0
Frontier Group of Companies,Frontier Industrial Corporation,Frontier Industrial Corporation,Bruce Mansfield Power Station,Shippingport,Beaver,PA,Pennsylvania,U.S.A.,Northeast,North America,Power,4911,1010752,Bruce Mansfield 01,1005528,Steam Turbine,913.8,,1-Apr-76,1976,10-Jan-18,Coal Bituminous,,Coal,10055,Peak Load,Closed,Boiler 01,Dry Bottom Boiler,Wood Foster Wheeler,PC Opposed-Fired LNB OFA SCR FGD-WS,6415000,lbs/hr,3207.5,3785,PSIG,261,1005,deg F,541,Gilbert Associates,Townsend & Bottum,,,40.6348,-80.4159,0
Frontier Group of Companies,Frontier Industrial Corporation,Frontier Industrial Corporation,Bruce Mansfield Power Station,Shippingport,Beaver,PA,Pennsylvania,U.S.A.,Northeast,North America,Power,4911,1010752,Bruce Mansfield 03,1005534,Steam Turbine,913.8,,1-Sep-80,1980,7-Nov-19,Coal Bituminous,,Coal,10055,Base Load,Closed,Boiler 03,Dry Bottom Boiler,Wood Foster Wheeler,PC Opposed-Fired LNB OFA SCR FGD-WS ESP-CS,6415000,lbs/hr,3207.5,3785,PSIG,261,1005,deg F,541,Gilbert Associates,Townsend & Bottum,,,40.6348,-80.4159,0
Frontier Group of Companies,Frontier Industrial Corporation,Frontier Industrial Corporation,Bruce Mansfield Power Station,Shippingport,Beaver,PA,Pennsylvania,U.S.A.,Northeast,North America,Power,4911,1010752,Bruce Mansfield 02,1005531,Steam Turbine,913.8,,1-Oct-77,1977,10-Jan-18,Coal Bituminous,,Coal,10055,Peak Load,Closed,Boiler 02,Dry Bottom Boiler,Wood Foster Wheeler,PC Opposed-Fired LNB OFA SCR FGD-WS,6415000,lbs/hr,3207.5,3785,PSIG,261,1005,deg F,541,Gilbert Associates,Townsend & Bottum,,,40.6348,-80.4159,0
Duke Energy Corporation,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Rogers Energy Complex,Mooresboro,Cleveland,NC,North Carolina,U.S.A.,Mid Atlantic,North America,Power,4911,1011738,J E Rogers 06,1038463,Steam Turbine,909.5,25-Feb-08,30-Dec-12,2012,,Natural Gas,Coal Bituminous,Natural Gas,8361,Base Load,Operational,Boiler 06,Dry Bottom Boiler,Hitachi Power Systems America Ltd,PC Supercritical Opposed-Fired LNB OFA SCR FGD-WS BAG,5952000,lbs/hr,2976,3917,PSIG,270,1055,deg F,568,"Shaw Group, Inc.","Shaw Group, Inc.",7850,2008,35.217637,-81.763701,0
NRG Energy Incorporated,NRG Energy Incorporated,Consolidated Asset Management Services - CAMS,Oswego Harbor Power Station,Oswego,Oswego,NY,New York,U.S.A.,Northeast,North America,Power,4931,1510555,Oswego Harbor 06,1006098,Steam Turbine,902,,1-Jul-80,1980,,Fuel Oil No. 6 Residual,Natural Gas,Fuel Oil,12093,Peak Load,Operational,Boiler 06,Dry Bottom Boiler,Wood Foster Wheeler,Front-Fired FGR OFA LEA ESP-CS,6300000,lbs/hr,3150,2875,PSIG,198,1005,deg F,541,Stone & Webster,Stone & Webster,,,43.4586,-76.5319,0
NRG Energy Incorporated,NRG Energy Incorporated,Consolidated Asset Management Services - CAMS,Oswego Harbor Power Station,Oswego,Oswego,NY,New York,U.S.A.,Northeast,North America,Power,4931,1510555,Oswego Harbor 05,1006799,Steam Turbine,902,,1-Feb-76,1976,,Fuel Oil No. 6 Residual,Natural Gas,Fuel Oil,12027,Peak Load,Operational,Boiler 05,Dry Bottom Boiler,Wood Foster Wheeler,Front-Fired FGR OFA LEA ESP-CS,6300000,lbs/hr,3150,2875,PSIG,198,1005,deg F,541,Stone & Webster,Stone & Webster,,,43.4586,-76.5319,0
Vistra Energy Corporation,"Dynegy Zimmer, LLC","Dynegy Zimmer, LLC",William H Zimmer Power Station,Moscow,Clermont,OH,Ohio,U.S.A.,Great Lakes,North America,Power,4911,1009921,William H Zimmer 01A (HP),1003896,Steam Turbine,900,,1-Mar-91,1991,31-May-22,Coal Bituminous,,Coal,9674,Intermediate Load,Closed,Boiler 01,Dry Bottom Boiler,Babcock & Wilcox,PC Opposed-Fired LNB SCR FGD-WS ESP-CS,9775000,lbs/hr,4887.5,3684,PSIG,254,1000,deg F,538,Black & Veatch,,,,38.8675,-84.2289,0
LS Power Group,Sandy Creek Energy Associates LP,NAES Corporation,Sandy Creek Energy Station,Riesel,McLennan,TX,Texas,U.S.A.,Southwest,North America,Power,4931,1063355,Sandy Creek 01,1035285,Steam Turbine,900,1-Nov-07,10-Jun-13,2013,,Coal Subbituminous,Natural Gas,Coal,9421,Base Load,Operational,Boiler 01,Dry Bottom Boiler,Ishikawajima-Harima Heavy Industries (IHI),Opposed-Fired Once-Through Variable Pressure Reheat (SOVR)(Alstom OFA LNB FGD-DS BAG SCR ACIS),5654000,lbs/hr,2827,3683,PSIG,254,1108,deg F,598,Black & Veatch,Zachry-Gilbert,,2007,31.473807,-96.957459,0
Entergy Corporation,Entergy Louisiana LLC,Entergy Louisiana LLC,Ninemile Point Power Station,Westwego,Jefferson,LA,Louisiana,U.S.A.,Southwest,North America,Power,4911,1004091,Ninemile Point 04,1004608,Steam Turbine,895.1,,1-Mar-92,1992,,Natural Gas,Fuel Oil No. 2 Distillate Diesel,Natural Gas,9955,Base Load,Operational,Boiler 04,Watertube Boiler,GE ALSTOM Combustion Engineering Heritage,"Tangential-Fired LEA FGR,",5400000,lbs/hr,2700,3850,PSIG,265,1005,deg F,541,Ebasco,,7146,,29.94811,-90.147371,0
Evergy Incorporated,Kansas City Power & Light Company,Kansas City Power & Light Company,La Cygne Power Station,La Cygne,Linn,KS,Kansas,U.S.A.,Midwest,North America,Power,4911,1014955,La Cygne 01,1006085,Steam Turbine,893,,1-Jun-73,1973,31-Dec-32,Coal Subbituminous,Coal Bituminous,Coal,10590,Intermediate Load,Operational,Boiler 01,Wet Bottom Boiler,Babcock & Wilcox,PC Supercritical Cyclone-Fired OFA FGD-WS SCR,6193184,lbs/hr,3096.592,3950,PSIG,272,1005,deg F,541,Ebasco,Ebasco,,,38.34769,-94.64469,0
NRG Energy Incorporated,NRG Energy Incorporated,NRG Energy Incorporated,Powerton Power Station,Pekin,Tazewell,IL,Illinois,U.S.A.,Great Lakes,North America,Power,4931,1013200,Powerton 05,1006933,Steam Turbine,892.8,,1-Sep-72,1972,,Coal Subbituminous,Coal Bituminous,Coal,11186,Peak Load,Operational,Boiler 52,Wet Bottom Boiler,Babcock & Wilcox,PC Cyclone-Fired ESP-CS OFA LNB ACIS SNCR (FGD/SCR-2012),3037000,lbs/hr,1518.5,2500,PSIG,172,1000,deg F,538,Sargent & Lundy,,4116,,40.540659,-89.679053,0
NRG Energy Incorporated,NRG Energy Incorporated,NRG Energy Incorporated,Powerton Power Station,Pekin,Tazewell,IL,Illinois,U.S.A.,Great Lakes,North America,Power,4931,1013200,Powerton 06,1006937,Steam Turbine,892.8,,1-Dec-75,1975,,Coal Subbituminous,Coal Bituminous,Coal,11186,Peak Load,Operational,Boiler 61,Wet Bottom Boiler,Babcock & Wilcox,PC Cyclone-Fired ESP-CS LNB OFA ACIS SNCR (FGD-2012),3037000,lbs/hr,1518.5,2500,PSIG,172,1000,deg F,538,Sargent & Lundy,,4116,,40.540659,-89.679053,0
NRG Energy Incorporated,NRG Energy Incorporated,NRG Energy Incorporated,Powerton Power Station,Pekin,Tazewell,IL,Illinois,U.S.A.,Great Lakes,North America,Power,4931,1013200,Powerton 06,1006937,Steam Turbine,892.8,,1-Dec-75,1975,,Coal Subbituminous,Coal Bituminous,Coal,11186,Peak Load,Operational,Boiler 62,Wet Bottom Boiler,Babcock & Wilcox,PC Cyclone-Fired ESP-CS LNB OFA ACIS SNCR (FGD-2012),3037000,lbs/hr,1518.5,2500,PSIG,172,1000,deg F,538,Sargent & Lundy,,4116,,40.540659,-89.679053,0
NRG Energy Incorporated,NRG Energy Incorporated,NRG Energy Incorporated,Powerton Power Station,Pekin,Tazewell,IL,Illinois,U.S.A.,Great Lakes,North America,Power,4931,1013200,Powerton 05,1006933,Steam Turbine,892.8,,1-Sep-72,1972,,Coal Subbituminous,Coal Bituminous,Coal,11186,Peak Load,Operational,Boiler 51,Wet Bottom Boiler,Babcock & Wilcox,PC Cyclone-Fired ESP-CS OFA LNB ACIS SNCR (FGD/SCR-2012),3037000,lbs/hr,1518.5,2500,PSIG,172,1000,deg F,538,Sargent & Lundy,,4116,,40.540659,-89.679053,0
Southern Company,Georgia Power Company,Georgia Power Company,Robert W Scherer Power Station,Juliette,Monroe,GA,Georgia,U.S.A.,Southeast,North America,Power,4911,1014200,Scherer 02,1005653,Steam Turbine,891,,1-Feb-84,1984,,Coal Subbituminous,Coal Bituminous,Coal,9644,Base Load,Operational,Boiler 02,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-HS (FGD-2012) (Southern Company design SCR-2013) SN:CCRRD-6375  Avatech Wet FGD,5790000,lbs/hr,2895,2400,PSIG,165,1000,deg F,538,Southern Company Services,,9874,,33.060473,-83.808281,0
Southern Company,Georgia Power Company,Georgia Power Company,Robert W Scherer Power Station,Juliette,Monroe,GA,Georgia,U.S.A.,Southeast,North America,Power,4911,1014200,Scherer 04,1005655,Steam Turbine,891,,1-Feb-89,1989,1-Jan-22,Coal Subbituminous,Coal Bituminous,Coal,10157,Base Load,Closed,Boiler 04,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-CS BAG (SCR-2011) (FGD-2012) SN:CCRD-1530388,5790000,lbs/hr,2895,2400,PSIG,165,1000,deg F,538,Southern Company Services,,9495,,33.060473,-83.808281,0
Southern Company,Georgia Power Company,Georgia Power Company,Robert W Scherer Power Station,Juliette,Monroe,GA,Georgia,U.S.A.,Southeast,North America,Power,4911,1014200,Scherer 01,1005651,Steam Turbine,891,,1-Mar-82,1982,,Coal Subbituminous,Coal Bituminous,Coal,9747,Base Load,Operational,Boiler 01,Dry Bottom Boiler,GE ALSTOM Combustion Engineering Heritage,PC Tangential-Fired LNB OFA ESP-HS (FGD-2012) (BAG-09) (Southern Company SCR-2013) SN:CCRRD-6375 Avatech Wet FGD,5790000,lbs/hr,2895,2400,PSIG,165,1000,deg F,538,Southern Company Services,,9860,,33.060473,-83.808281,0
